brand_id,vendor_id,vendor_name,assessment_date,brand_reputation_score,market_visibility,customer_satisfaction,esg_score,sustainability_score,social_impact_score,governance_score,environmental_score,carbon_footprint,renewable_energy_pct
1,1,TechCorp Inc,2024-06-15,90.0,86.2,89.4,88.8,86.3,92.8,92.9,91.4,86,63
2,2,Global Supplies Ltd,2024-06-15,93.7,91.5,91.7,99.0,92.6,93.2,91.3,93.3,52,62
3,3,Quality Parts Co,2024-06-15,51.7,53.2,51.6,49.3,52.5,51.0,53.6,51.9,294,31
4,4,Innovative Solutions,2024-06-15,90.2,95.0,89.5,93.0,92.9,87.2,93.6,92.7,51,88
5,5,Reliable Services LLC,2024-06-15,77.6,80.9,75.1,77.0,77.0,76.0,76.1,74.8,319,42
6,6,Apex Delivery Co,2024-06-15,77.6,74.6,76.5,80.8,73.5,80.9,80.4,81.4,253,55
7,7,BlueStar Tech,2024-06-15,86.5,83.7,90.3,83.8,87.3,90.2,81.7,91.4,168,73
8,8,PrimeCast Mfg,2024-06-15,81.2,80.6,83.6,85.4,79.3,84.5,78.0,87.1,151,58
9,9,SwiftRoute Express,2024-06-15,85.1,87.4,83.9,84.0,83.3,85.0,86.2,89.3,125,73
10,10,Omega Consult Group,2024-06-15,68.4,68.1,72.2,67.7,65.9,70.5,70.2,63.4,207,56
11,11,NovaMat Supplies,2024-06-15,74.9,77.9,71.8,73.1,79.2,72.2,71.1,71.4,285,61
12,12,DataStream Inc,2024-06-15,87.3,86.6,89.3,82.9,87.4,87.9,87.5,88.7,65,74
13,13,SteelWorks Co,2024-06-15,77.4,79.7,77.9,80.4,77.2,80.4,80.8,72.9,249,55
14,14,RapidFreight Ltd,2024-06-15,81.3,81.2,81.6,81.5,79.8,83.9,81.4,84.1,162,48
15,15,GreenSource Corp,2024-06-15,75.1,79.8,74.8,77.5,70.6,78.4,75.8,76.8,281,56
16,16,CloudNine Systems,2024-06-15,73.9,75.8,75.1,71.0,76.9,72.2,77.4,68.5,306,42
17,17,FastLane Logistics,2024-06-15,81.3,78.6,83.5,85.3,86.2,78.2,80.2,86.5,184,41
18,18,PrecisionForge Ltd,2024-06-15,58.3,59.7,61.2,61.2,58.0,59.2,61.2,63.9,544,28
19,19,StratEdge Consulting,2024-06-15,80.4,85.3,80.8,78.9,80.7,84.4,77.6,78.1,322,45
20,20,EcoRaw Materials,2024-06-15,82.5,78.5,85.9,84.2,79.5,83.8,84.0,76.6,64,91
21,21,NexGen IT Solutions,2024-06-15,89.1,84.2,92.3,88.0,90.0,87.8,93.6,87.1,88,94
22,22,CargoWise Corp,2024-06-15,92.7,92.3,91.2,94.8,91.0,89.7,94.0,88.6,85,82
23,23,MetalPlus Manufacturing,2024-06-15,90.3,88.2,92.7,88.3,85.7,88.3,88.9,88.7,82,92
24,24,Alpha Advisors,2024-06-15,46.0,43.5,43.5,51.7,43.6,49.4,44.6,43.3,300,23
25,25,TerraMat Co,2024-06-15,62.6,63.6,66.3,58.4,64.4,64.7,57.8,61.6,568,29
26,26,CyberEdge Technologies,2024-06-15,78.2,79.6,77.1,75.8,77.4,79.8,75.7,72.3,193,52
27,27,SpeedFreight Inc,2024-06-15,63.7,60.8,62.3,57.7,63.6,65.8,64.7,65.7,450,21
28,28,Ironclad Manufacturing,2024-06-15,94.9,98.2,91.2,95.2,96.9,97.5,93.9,93.4,174,65
29,29,ProConsult Partners,2024-06-15,48.3,45.1,44.8,47.6,52.8,49.7,47.3,47.8,568,29
30,30,NaturalRes Corp,2024-06-15,90.5,87.2,86.9,91.5,87.6,89.0,85.8,89.7,168,83
31,31,Quantum IT Group,2024-06-15,88.7,91.2,91.2,89.7,90.0,91.4,91.1,84.5,96,74
32,32,GlobalLink Logistics,2024-06-15,79.1,74.9,76.5,78.1,82.8,82.3,75.4,74.8,150,32
33,33,Summit Manufacturing,2024-06-15,73.3,73.9,73.3,73.8,77.2,75.7,77.2,78.5,266,41
34,34,Insight Consulting,2024-06-15,68.5,73.2,68.9,73.3,66.1,70.1,67.1,69.4,362,37
35,35,PureSource Materials,2024-06-15,80.9,84.1,82.0,85.5,85.4,80.4,82.8,77.9,366,58
36,36,InnovateTech Ltd,2024-06-15,93.4,93.1,93.8,93.9,88.6,89.5,95.4,94.7,105,91
37,37,AirCargo Express,2024-06-15,55.5,55.7,56.4,61.0,52.1,54.0,54.5,50.3,324,27
38,38,PowerForge Mfg,2024-06-15,74.2,73.6,70.2,70.6,74.2,75.4,78.6,68.6,325,40
39,39,Clarity Consulting,2024-06-15,57.5,56.5,55.9,57.1,61.2,60.2,58.8,53.2,383,28
40,40,GoldMine Resources,2024-06-15,90.2,88.8,94.0,92.2,87.9,92.9,93.1,85.2,94,70
41,41,SkyNet IT Services,2024-06-15,90.5,94.8,87.4,84.5,90.6,92.2,89.5,94.9,116,95
42,42,TruckPro Logistics,2024-06-15,83.4,79.0,81.2,82.5,83.9,82.4,82.9,82.0,76,92
43,43,Alliance Manufacturing,2024-06-15,91.8,87.1,94.4,96.9,87.3,91.5,94.9,91.7,71,82
44,44,Vision Consulting,2024-06-15,92.3,93.0,89.6,95.5,93.6,93.9,93.5,86.7,145,84
45,45,EarthCore Supplies,2024-06-15,82.2,83.9,83.4,86.5,80.5,80.0,83.2,80.0,170,79
46,46,DataForce Inc,2024-06-15,82.8,84.4,84.2,85.9,80.4,84.0,78.3,77.8,362,36
47,47,OceanFreight Ltd,2024-06-15,71.3,68.7,74.8,77.1,74.0,74.2,74.2,74.8,224,34
48,48,CraftWorks Mfg,2024-06-15,75.3,79.3,77.5,69.4,75.6,74.1,78.0,79.0,247,55
49,49,Summit Advisors,2024-06-15,88.4,84.2,86.6,89.8,88.6,86.1,91.6,86.5,142,87
