vendor_id,name,category,contact_email,contact_phone,contract_value,start_date,end_date,status,risk_level,country,rating
1,TechCorp Inc,IT Services,contact@techcorpinc.com,+1-555-1000,674175,2022-01-01,2026-12-31,Active,Low,Canada,3.28
2,Global Supplies Ltd,Consulting,contact@globalsuppliesltd.com,+1-555-1001,185805,2022-01-01,2026-12-31,Active,Medium,UAE,3.18
3,Quality Parts Co,Consulting,contact@qualitypartsco.com,+1-555-1002,107318,2022-01-01,2026-12-31,Active,Low,UAE,3.4
4,Innovative Solutions,Manufacturing,contact@innovativesolutions.com,+1-555-1003,249071,2022-01-01,2026-12-31,Active,Low,Australia,3.49
5,Reliable Services LLC,Manufacturing,contact@reliableservicesllc.com,+1-555-1004,256273,2022-01-01,2026-12-31,Active,Low,Singapore,3.72
6,Apex Delivery Co,Raw Materials,contact@apexdeliveryco.com,+1-555-1005,568884,2022-01-01,2026-12-31,Active,Low,Japan,4.06
7,BlueStar Tech,IT Services,contact@bluestartech.com,+1-555-1006,394186,2022-01-01,2026-12-31,Active,Medium,USA,2.81
8,PrimeCast Mfg,Consulting,contact@primecastmfg.com,+1-555-1007,282042,2022-01-01,2026-12-31,Active,Medium,Brazil,3.04
9,SwiftRoute Express,Logistics,contact@swiftrouteexpress.com,+1-555-1008,611893,2022-01-01,2026-12-31,Active,Low,Japan,3.52
10,Omega Consult Group,IT Services,contact@omegaconsultgroup.com,+1-555-1009,95594,2022-01-01,2026-12-31,Active,Low,Japan,4.7
11,NovaMat Supplies,Manufacturing,contact@novamatsupplies.com,+1-555-1010,140389,2022-01-01,2026-12-31,Active,Low,Japan,3.6
12,DataStream Inc,Raw Materials,contact@datastreaminc.com,+1-555-1011,114852,2022-01-01,2026-12-31,Active,Low,Japan,3.67
13,SteelWorks Co,Consulting,contact@steelworksco.com,+1-555-1012,167231,2022-01-01,2026-12-31,Active,Low,USA,3.59
14,RapidFreight Ltd,Consulting,contact@rapidfreightltd.com,+1-555-1013,83811,2022-01-01,2026-12-31,Active,Low,Japan,3.82
15,GreenSource Corp,Consulting,contact@greensourcecorp.com,+1-555-1014,342698,2022-01-01,2026-12-31,Under Review,High,Brazil,2.61
16,CloudNine Systems,Consulting,contact@cloudninesystems.com,+1-555-1015,188046,2022-01-01,2026-12-31,Active,Low,India,4.29
17,FastLane Logistics,Manufacturing,contact@fastlanelogistics.com,+1-555-1016,78467,2022-01-01,2026-12-31,Active,Low,Japan,4.25
